Well_ID,Date,Oil_Rate,Gas_Rate,GOR,Water_Cut,Pressure,Temperature,Choke_Position,Vibration,Motor_Current,Pump_Status
WELL-01,2026-04-26,197.54,310.02,1569.38,45.3,1370.8,97.94,38.1,5.79,96.4,0
WELL-01,2026-04-27,143.38,207.2,1445.1,46.73,1271.92,101.79,36.2,7.28,110.21,1
WELL-01,2026-04-28,108.64,172.63,1589.01,46.37,1222.4,102.04,34.6,7.09,128.57,1
WELL-01,2026-04-29,105.73,164.5,1555.86,48.45,1152.7,105.27,34.1,8.45,118.13,1
WELL-01,2026-04-30,108.86,174.55,1603.46,47.38,1230.2,103.03,32.6,7.18,125.0,1
WELL-02,2026-04-01,315.65,305.08,966.52,38.54,2510.4,78.61,54.2,1.59,52.26,0
WELL-02,2026-04-02,326.85,309.69,947.52,39.1,2520.88,80.74,56.1,1.51,47.03,0
WELL-02,2026-04-03,311.41,296.96,953.57,40.32,2351.66,78.15,50.0,1.32,50.3,0
WELL-02,2026-04-04,327.57,301.62,920.78,38.28,2380.49,80.88,50.6,1.45,52.41,0
WELL-02,2026-04-05,307.19,282.99,921.24,40.11,2478.93,80.38,48.3,1.51,48.55,0
WELL-02,2026-04-06,309.51,275.48,890.06,40.23,2500.67,80.82,49.3,1.6,50.25,0
WELL-02,2026-04-07,317.04,285.77,901.37,38.75,2503.75,81.13,49.1,1.56,52.14,0
WELL-02,2026-04-08,332.29,322.31,969.96,41.62,2500.87,77.59,56.5,1.43,50.71,0
WELL-02,2026-04-09,333.28,320.95,963.01,41.62,2500.34,78.44,55.5,1.29,51.4,0
WELL-02,2026-04-10,333.28,299.4,898.35,41.33,2381.04,81.0,55.1,1.56,47.63,0
WELL-02,2026-04-11,321.95,293.03,910.15,38.68,2388.49,76.97,55.5,1.56,48.35,0
WELL-02,2026-04-12,338.33,330.98,978.29,40.05,2383.43,81.52,49.2,1.51,49.38,0
WELL-02,2026-04-13,338.44,323.14,954.79,39.64,2363.91,77.37,50.9,1.62,48.57,0
WELL-02,2026-04-14,326.67,285.42,873.73,40.74,2428.52,78.07,56.0,1.42,50.44,0
WELL-02,2026-04-15,324.48,307.48,947.62,38.19,2468.9,78.59,51.0,1.54,51.0,0
WELL-02,2026-04-16,317.22,291.34,918.42,39.54,2493.86,78.33,50.7,1.54,48.78,0
WELL-02,2026-04-17,311.19,282.28,907.11,40.36,2410.86,81.15,52.9,1.61,51.04,0
WELL-02,2026-04-18,307.09,283.4,922.85,39.76,2384.94,79.97,50.1,1.43,50.46,0
WELL-02,2026-04-19,322.37,304.36,944.13,39.96,2504.18,77.26,51.1,1.56,48.0,0
WELL-02,2026-04-20,333.53,300.46,900.85,38.0,2475.05,77.8,52.3,1.52,48.33,0
WELL-02,2026-04-21,334.54,310.68,928.68,40.69,2343.39,77.78,50.3,1.43,50.76,0
WELL-02,2026-04-22,328.28,293.21,893.16,39.6,2330.33,77.36,56.3,1.55,51.6,0
WELL-02,2026-04-23,323.82,306.97,947.99,41.11,2339.0,79.03,56.6,1.37,52.07,0
WELL-02,2026-04-24,326.32,315.28,966.17,39.92,2513.66,80.28,52.9,1.6,50.66,0
WELL-02,2026-04-25,336.07,322.28,958.95,40.45,2473.6,78.03,52.6,1.45,48.54,0
WELL-02,2026-04-26,327.33,305.66,933.78,39.18,2382.55,78.15,49.4,1.31,48.7,0
WELL-02,2026-04-27,314.55,289.36,919.91,40.07,2463.95,78.79,50.0,1.53,47.37,0
WELL-02,2026-04-28,320.65,293.71,915.96,40.96,2504.89,80.93,48.3,1.49,51.15,0
WELL-02,2026-04-29,318.44,297.57,934.45,40.89,2475.51,78.85,53.3,1.58,52.7,0
WELL-02,2026-04-30,314.2,288.64,918.63,40.62,2371.84,78.45,49.6,1.44,47.16,0
WELL-03,2026-04-01,340.6,319.96,939.39,28.61,1983.24,87.05,66.2,0.92,42.11,0
WELL-03,2026-04-02,362.39,349.88,965.48,29.22,2042.16,86.02,65.9,0.97,40.58,0
WELL-03,2026-04-03,358.79,307.99,858.42,28.23,2034.1,90.97,63.7,1.06,44.03,0
WELL-03,2026-04-04,340.27,297.57,874.53,29.89,2016.31,89.64,68.7,1.04,41.28,0
WELL-03,2026-04-05,362.24,322.5,890.29,27.73,1927.99,86.5,69.4,1.11,45.11,0
WELL-03,2026-04-06,369.67,320.63,867.33,29.48,1972.89,89.59,70.4,1.08,40.55,0
WELL-03,2026-04-07,365.86,330.38,903.01,28.67,2005.32,90.08,66.1,0.93,45.21,0
WELL-03,2026-04-08,353.69,327.4,925.66,30.45,1964.07,86.48,71.0,1.11,44.38,0
WELL-03,2026-04-09,360.81,330.14,915.01,30.01,1979.07,87.36,67.3,1.08,45.11,0
WELL-03,2026-04-10,351.2,334.54,952.55,27.91,2026.11,90.34,64.7,0.97,44.53,0
WELL-03,2026-04-11,352.23,309.74,879.38,28.18,2006.9,90.44,70.7,1.0,40.31,0
WELL-03,2026-04-12,347.83,301.07,865.55,30.41,2049.87,85.97,69.9,1.08,41.58,0
WELL-03,2026-04-13,353.07,305.89,866.36,29.96,2030.43,88.53,64.5,1.07,43.48,0
WELL-03,2026-04-14,360.26,337.82,937.72,28.89,1958.5,88.74,65.7,1.05,42.59,0
WELL-03,2026-04-15,360.65,329.91,914.76,28.0,1952.88,86.94,70.3,0.97,40.78,0
WELL-03,2026-04-16,342.35,303.71,887.12,29.18,1944.2,91.11,63.2,1.02,43.88,0
WELL-03,2026-04-17,342.67,329.88,962.68,28.45,1945.97,88.76,68.1,0.95,40.24,0
WELL-03,2026-04-18,360.46,327.11,907.5,29.33,1929.86,90.56,66.9,1.12,42.68,0
WELL-03,2026-04-19,342.32,295.86,864.29,28.82,1917.94,90.29,68.9,1.14,42.61,0
WELL-03,2026-04-20,337.7,317.35,939.74,28.0,1933.51,91.2,68.6,1.04,41.72,0
WELL-03,2026-04-21,363.76,350.81,964.4,30.16,1945.68,88.27,65.4,1.03,42.47,0
WELL-03,2026-04-22,357.76,332.13,928.38,28.27,2006.79,87.03,63.8,1.09,45.02,0
WELL-03,2026-04-23,317.33,286.71,903.53,29.93,1848.69,91.29,67.6,1.19,47.18,0
WELL-03,2026-04-24,308.72,300.96,974.88,32.42,1831.39,94.58,67.8,1.91,56.33,0
WELL-03,2026-04-25,275.05,258.52,939.9,32.04,1768.84,97.04,59.5,2.47,63.37,0
WELL-03,2026-04-26,257.94,272.17,1055.15,35.63,1696.3,98.48,59.4,2.85,64.65,0
WELL-03,2026-04-27,226.09,220.31,974.44,35.48,1557.28,98.52,61.6,3.26,74.76,0
WELL-03,2026-04-28,207.52,205.38,989.68,36.97,1545.01,102.83,57.6,4.85,88.36,0
WELL-03,2026-04-29,177.98,181.14,1017.74,39.27,1508.78,104.82,52.0,4.72,92.55,1
WELL-03,2026-04-30,152.42,172.87,1134.14,42.57,1424.21,104.83,51.7,5.65,102.44,1
WELL-04,2026-04-01,320.1,359.06,1121.69,40.74,2073.15,95.2,64.5,1.36,45.53,0
WELL-04,2026-04-02,336.71,379.37,1126.68,40.14,2115.76,97.18,60.5,1.47,42.17,0
WELL-04,2026-04-03,324.55,360.14,1109.67,39.55,2135.18,96.83,67.4,1.27,46.78,0
WELL-04,2026-04-04,322.85,363.95,1127.3,41.61,2163.14,96.39,64.5,1.41,42.97,0
WELL-04,2026-04-05,319.14,384.1,1203.54,38.81,2198.05,96.56,63.1,1.41,46.19,0
WELL-04,2026-04-06,336.93,415.33,1232.69,40.05,2127.61,93.35,63.9,1.51,43.02,0
WELL-04,2026-04-07,311.56,354.61,1138.19,39.53,2132.85,94.74,60.8,1.35,44.45,0
WELL-04,2026-04-08,329.28,392.41,1191.71,40.67,2138.5,91.91,67.2,1.31,45.64,0
WELL-04,2026-04-09,319.22,371.38,1163.38,37.86,2154.14,94.47,64.9,1.51,46.72,0
WELL-04,2026-04-10,286.62,346.25,1208.03,44.64,2023.51,98.64,61.6,2.17,55.22,0
WELL-04,2026-04-11,221.96,295.96,1333.38,48.36,1798.69,104.49,59.5,3.76,67.81,0
WELL-04,2026-04-12,190.0,239.98,1263.03,53.54,1625.74,109.37,48.8,4.54,87.03,0
WELL-04,2026-04-13,142.67,208.03,1458.08,56.33,1538.79,109.39,48.2,6.64,100.75,1
WELL-04,2026-04-14,94.06,137.26,1459.27,57.44,1270.42,115.62,45.3,8.47,116.22,1
WELL-04,2026-04-15,93.06,141.99,1525.85,58.01,1283.5,117.33,42.2,7.11,124.48,1
WELL-04,2026-04-16,90.06,133.73,1484.82,61.94,1292.35,118.62,42.3,7.44,112.16,1
WELL-04,2026-04-17,321.02,388.84,1211.26,38.71,2100.02,94.06,60.9,1.43,44.91,0
WELL-04,2026-04-18,319.18,362.11,1134.48,41.66,2123.44,94.92,68.9,1.32,44.56,0
WELL-04,2026-04-19,328.01,386.37,1177.92,37.91,2087.93,95.88,64.0,1.43,45.16,0
WELL-04,2026-04-20,335.95,396.4,1179.94,40.25,2089.92,93.66,65.8,1.5,44.74,0
WELL-04,2026-04-21,330.04,375.05,1136.4,40.28,2153.37,96.78,63.4,1.52,44.86,0
WELL-04,2026-04-22,325.47,361.84,1111.73,38.42,2165.82,95.9,64.4,1.27,43.09,0
WELL-04,2026-04-23,338.13,392.41,1160.53,40.99,2131.54,93.12,67.1,1.54,45.93,0
WELL-04,2026-04-24,330.86,401.45,1213.33,41.56,2098.86,92.46,66.3,1.27,46.63,0
WELL-04,2026-04-25,338.4,395.31,1168.17,37.77,2205.78,96.14,63.5,1.51,43.46,0
WELL-04,2026-04-26,328.48,369.84,1125.91,38.15,2155.61,96.99,59.1,1.43,45.88,0
WELL-04,2026-04-27,335.31,409.15,1220.2,40.99,2136.74,92.02,62.0,1.54,42.7,0
WELL-04,2026-04-28,319.94,389.41,1217.11,38.1,2065.02,94.45,60.3,1.55,43.14,0
WELL-04,2026-04-29,321.41,358.32,1114.85,40.66,2155.29,94.03,63.1,1.49,46.54,0
WELL-04,2026-04-30,309.96,358.05,1155.16,39.19,2124.48,91.84,68.6,1.37,46.57,0
WELL-05,2026-04-01,401.77,401.13,998.42,24.39,2024.39,90.42,54.0,1.53,50.71,0
WELL-05,2026-04-02,411.19,420.71,1023.15,22.7,1910.61,91.08,54.7,1.57,47.16,0
WELL-05,2026-04-03,357.63,380.1,1062.84,24.68,1768.55,96.08,46.6,2.57,56.99,0
WELL-05,2026-04-04,288.95,329.56,1140.54,27.4,1691.7,100.17,43.1,3.12,70.36,0
WELL-05,2026-04-05,225.13,274.68,1220.08,32.72,1549.89,102.71,39.7,4.92,93.03,0
WELL-05,2026-04-06,197.44,264.94,1341.89,33.3,1320.73,107.39,36.5,6.84,111.83,1
WELL-05,2026-04-07,118.57,159.03,1341.28,33.24,1239.3,108.8,33.6,8.03,130.87,1
WELL-05,2026-04-08,115.82,152.5,1316.72,36.15,1234.12,114.97,36.8,8.14,122.12,1
WELL-05,2026-04-09,112.0,143.22,1278.79,37.38,1240.83,113.46,35.9,8.73,126.99,1
WELL-05,2026-04-10,410.02,442.92,1080.24,23.65,1944.17,87.48,50.6,1.53,49.23,0
WELL-05,2026-04-11,404.14,440.35,1089.61,22.23,2036.2,87.47,54.2,1.38,51.71,0
WELL-05,2026-04-12,435.46,470.42,1080.27,23.34,1983.17,87.62,53.7,1.57,48.72,0
WELL-05,2026-04-13,459.65,470.11,1022.74,24.3,2004.38,88.86,52.9,1.72,50.33,0
WELL-05,2026-04-14,409.69,449.97,1098.31,24.29,1907.82,91.07,54.5,1.67,48.94,0
WELL-05,2026-04-15,467.91,515.23,1101.13,25.82,2019.72,87.11,49.7,1.59,50.59,0
WELL-05,2026-04-16,406.29,433.79,1067.69,25.56,2001.49,87.0,50.8,1.47,48.78,0
WELL-05,2026-04-17,403.3,419.04,1039.03,23.62,1990.53,88.12,50.6,1.37,51.2,0
WELL-05,2026-04-18,448.29,481.56,1074.23,22.49,2013.17,87.25,53.1,1.57,47.26,0
WELL-05,2026-04-19,413.41,417.61,1010.17,25.07,1995.06,88.44,51.1,1.54,49.39,0
WELL-05,2026-04-20,414.27,444.05,1071.88,23.52,1997.67,87.21,47.6,1.54,50.73,0
WELL-05,2026-04-21,415.68,453.36,1090.65,21.84,1924.05,88.73,49.0,1.41,48.28,0
WELL-05,2026-04-22,421.79,466.18,1105.24,22.12,2001.64,91.3,47.9,1.54,51.72,0
WELL-05,2026-04-23,393.75,412.96,1048.79,24.87,2035.91,90.05,48.5,1.68,50.19,0
WELL-05,2026-04-24,393.91,396.63,1006.9,25.78,1941.94,91.44,54.5,1.66,50.44,0
WELL-05,2026-04-25,411.17,426.81,1038.04,23.27,1983.55,88.64,48.9,1.55,49.11,0
WELL-05,2026-04-26,431.9,475.01,1099.8,24.95,1908.73,88.85,54.2,1.55,52.16,0
WELL-05,2026-04-27,410.63,418.11,1018.22,24.64,1913.84,91.06,53.9,1.43,50.35,0
WELL-05,2026-04-28,430.63,463.56,1076.45,24.25,2009.64,91.94,52.7,1.64,49.43,0
WELL-05,2026-04-29,459.35,473.42,1030.61,23.12,1989.59,89.35,48.0,1.42,47.16,0
WELL-05,2026-04-30,431.66,477.22,1105.56,22.14,1939.68,91.44,54.6,1.53,47.09,0
